Timestamp,Air extérieur,Température dissipateur,
2025-03-28 13:17:43,19,17,
2025-03-28 13:17:44,20,15,
2025-03-28 13:17:45,20,12,
2025-03-28 13:17:46,20,9,
2025-03-28 13:17:47,20,8,
2025-03-28 13:17:48,20,8,
2025-03-28 13:17:49,19,10,
2025-03-28 13:17:50,20,10,
2025-03-28 13:17:51,20,6,
2025-03-28 13:17:52,19,1,
2025-03-28 13:17:53,20,0,
2025-03-28 13:17:54,20,0,
2025-03-28 13:17:55,20,-1,
2025-03-28 13:17:56,20,-1,
2025-03-28 13:17:57,20,-1,
2025-03-28 13:17:58,20,-2,
2025-03-28 13:17:59,20,-4,
2025-03-28 13:18:00,19,-4,
2025-03-28 13:18:01,20,-4,
2025-03-28 13:18:02,20,-4,
2025-03-28 13:18:03,20,-4,
2025-03-28 13:18:04,20,-4,
2025-03-28 13:18:05,20,-4,
2025-03-28 13:18:06,19,-4,
2025-03-28 13:18:07,19,-4,
2025-03-28 13:18:08,19,-5,
2025-03-28 13:18:09,19,-5,
2025-03-28 13:18:10,19,-5,
2025-03-28 13:18:11,19,-5,
2025-03-28 13:18:12,19,-6,
2025-03-28 13:18:13,19,-5,
2025-03-28 13:18:14,19,-6,
2025-03-28 13:18:15,19,-5,
2025-03-28 13:18:17,20,-6,
2025-03-28 13:18:18,19,-6,
2025-03-28 13:18:19,19,-6,
2025-03-28 13:18:20,19,-6,
2025-03-28 13:18:21,19,-7,
2025-03-28 13:18:22,19,-8,
2025-03-28 13:18:23,19,-6,
2025-03-28 13:18:24,19,-6,
2025-03-28 13:18:25,19,-6,
2025-03-28 13:18:26,19,-7,
2025-03-28 13:18:27,19,-6,
2025-03-28 13:18:28,19,-6,
2025-03-28 13:18:29,19,-6,
2025-03-28 13:18:30,19,-6,
2025-03-28 13:18:31,19,-6,
2025-03-28 13:18:32,19,-6,
2025-03-28 13:18:33,19,-6,
2025-03-28 13:18:34,19,-6,
2025-03-28 13:18:35,19,-5,
2025-03-28 13:18:36,19,-4,
2025-03-28 13:18:37,19,-5,
2025-03-28 13:18:38,19,-5,
2025-03-28 13:18:39,19,-5,
2025-03-28 13:18:40,19,-5,
2025-03-28 13:18:41,19,-5,
2025-03-28 13:18:42,19,-5,
2025-03-28 13:18:43,19,-5,
2025-03-28 13:18:44,19,-6,
2025-03-28 13:18:45,19,-5,
2025-03-28 13:18:46,19,-6,
2025-03-28 13:18:47,20,-6,
2025-03-28 13:18:48,19,-7,
2025-03-28 13:18:49,19,-8,
2025-03-28 13:18:50,19,-7,
2025-03-28 13:18:51,19,-7,
2025-03-28 13:18:52,19,-7,
2025-03-28 13:18:53,19,-7,
2025-03-28 13:18:54,19,-7,
2025-03-28 13:18:55,19,-7,
2025-03-28 13:18:56,20,-8,
2025-03-28 13:18:57,19,-8,
2025-03-28 13:18:58,19,-7,
2025-03-28 13:18:59,20,-8,
2025-03-28 13:19:00,19,-8,
2025-03-28 13:19:01,19,-7,
2025-03-28 13:19:02,19,-8,
2025-03-28 13:19:03,19,-8,
2025-03-28 13:19:04,19,-8,
2025-03-28 13:19:05,19,-8,
2025-03-28 13:19:06,19,-8,
2025-03-28 13:19:07,19,-8,
2025-03-28 13:19:09,20,-9,
2025-03-28 13:19:10,19,-8,
2025-03-28 13:19:11,20,-8,
2025-03-28 13:19:12,20,-9,
2025-03-28 13:19:13,20,-8,
2025-03-28 13:19:14,20,-9,
2025-03-28 13:19:15,20,-9,
2025-03-28 13:19:16,20,-9,
2025-03-28 13:19:17,20,-11,
2025-03-28 13:19:18,19,-9,
2025-03-28 13:19:19,20,-9,
2025-03-28 13:19:20,20,-9,
2025-03-28 13:19:21,19,-9,
2025-03-28 13:19:22,20,-9,
2025-03-28 13:19:23,20,-9,
2025-03-28 13:19:24,20,-9,
2025-03-28 13:19:25,20,-9,
2025-03-28 13:19:26,20,-9,
2025-03-28 13:19:27,20,-9,
2025-03-28 13:19:28,20,-9,
2025-03-28 13:19:29,20,-10,
2025-03-28 13:19:30,20,-10,
2025-03-28 13:19:31,19,-9,
2025-03-28 13:19:32,20,-10,
2025-03-28 13:19:33,20,-10,
2025-03-28 13:19:34,19,-10,
2025-03-28 13:19:35,20,-9,
2025-03-28 13:19:36,20,-10,
2025-03-28 13:19:37,20,-10,
2025-03-28 13:19:38,19,-12,
2025-03-28 13:19:39,20,-10,
2025-03-28 13:19:40,20,-10,
2025-03-28 13:19:41,20,-11,
2025-03-28 13:19:42,20,-10,
2025-03-28 13:19:43,20,-10,
2025-03-28 13:19:44,20,-10,
2025-03-28 13:19:45,20,-11,
2025-03-28 13:19:46,20,-10,
2025-03-28 13:19:47,19,-11,
2025-03-28 13:19:48,20,-10,
2025-03-28 13:19:49,20,-10,
2025-03-28 13:19:50,20,-10,
2025-03-28 13:19:51,20,-11,
2025-03-28 13:19:52,20,-10,
2025-03-28 13:19:53,20,-12,
2025-03-28 13:19:54,19,-12,
2025-03-28 13:19:55,20,-10,
2025-03-28 13:19:56,19,-12,
2025-03-28 13:19:57,20,-12,
2025-03-28 13:19:58,20,-12,
2025-03-28 13:20:00,20,-11,
2025-03-28 13:20:01,20,-8,
2025-03-28 13:20:02,20,-10,
2025-03-28 13:20:03,19,-10,
2025-03-28 13:20:04,20,-10,
2025-03-28 13:20:05,19,-11,
2025-03-28 13:20:06,19,-9,
